budget,size_eval,hidden_size,epochs,epochs_1batch,learning_rate,total_time,absolute_error
100,10,10,300,30,0.01,37.79839515686035,4886.0
100,10,10,300,30,0.01,37.87180233001709,591.0
100,10,10,300,30,0.01,37.651076555252075,612.4000000000005
100,10,10,300,30,0.01,37.746395111083984,451.2000000000007
100,10,10,300,30,0.01,37.76490640640259,165.0
100,10,10,300,30,0.01,38.746729612350464,4686.6
100,10,10,300,30,0.01,37.69053316116333,4692.4
100,10,10,300,30,0.01,37.625301122665405,664.8000000000002
100,10,10,300,30,0.01,37.67089653015137,6579.4
100,10,10,300,30,0.01,38.30933403968811,1583.2000000000007
100,20,10,300,30,0.01,34.30445694923401,361.2000000000007
100,20,10,300,30,0.01,33.736079931259155,380.0
100,20,10,300,30,0.01,34.81294059753418,677.2000000000007
100,20,10,300,30,0.01,33.53288435935974,546.0
100,20,10,300,30,0.01,35.98263239860535,451.0
100,20,10,300,30,0.01,33.86890530586243,451.8000000000002
100,20,10,300,30,0.01,33.56922435760498,206.0
100,20,10,300,30,0.01,33.88119029998779,203.40000000000055
100,20,10,300,30,0.01,33.68691873550415,480.2000000000007
100,20,10,300,30,0.01,33.5938720703125,344.0
100,30,10,300,30,0.01,29.455482482910156,6363.4
100,30,10,300,30,0.01,29.26121950149536,461.0
100,30,10,300,30,0.01,29.723358631134033,403.60000000000036
100,30,10,300,30,0.01,30.282451152801514,542.4000000000005
100,30,10,300,30,0.01,30.019241333007812,3337.4000000000005
100,30,10,300,30,0.01,29.636602878570557,456.60000000000036
100,30,10,300,30,0.01,29.659368991851807,432.2000000000007
100,30,10,300,30,0.01,29.711225271224976,532.0
100,30,10,300,30,0.01,29.62581729888916,974.8000000000002
100,30,10,300,30,0.01,29.499627590179443,4958.800000000001
100,40,10,300,30,0.01,25.38307523727417,27.800000000000182
100,40,10,300,30,0.01,25.99333119392395,205.60000000000036
100,40,10,300,30,0.01,25.406137228012085,452.8000000000002
100,40,10,300,30,0.01,27.066469192504883,564.0
100,40,10,300,30,0.01,25.782525062561035,886.0
100,40,10,300,30,0.01,25.503970861434937,486.8000000000002
100,40,10,300,30,0.01,26.84521508216858,676.4000000000005
100,40,10,300,30,0.01,25.707928895950317,4766.800000000001
100,40,10,300,30,0.01,25.224518299102783,157.0
100,40,10,300,30,0.01,26.782567024230957,462.2000000000007
100,50,10,300,30,0.01,21.460160970687866,464.0
100,50,10,300,30,0.01,21.249674320220947,173.80000000000018
100,50,10,300,30,0.01,21.477782726287842,445.60000000000036
100,50,10,300,30,0.01,21.267817735671997,605.4000000000005
100,50,10,300,30,0.01,21.274800062179565,256.0
100,50,10,300,30,0.01,21.4351327419281,187.0
100,50,10,300,30,0.01,21.257879972457886,664.8000000000002
100,50,10,300,30,0.01,21.10119938850403,486.60000000000036
100,50,10,300,30,0.01,20.990193605422974,834.0
100,50,10,300,30,0.01,21.17302656173706,195.60000000000036
100,60,10,300,30,0.01,16.952385425567627,123.60000000000036
100,60,10,300,30,0.01,17.341978788375854,488.40000000000055
100,60,10,300,30,0.01,17.538150787353516,138.60000000000036
100,60,10,300,30,0.01,17.201245546340942,462.2000000000007
100,60,10,300,30,0.01,17.208058834075928,200.20000000000073
100,60,10,300,30,0.01,17.429598093032837,765.4000000000005
