budget,size_eval,hidden_size,epochs,epochs_1batch,learning_rate,total_time,absolute_error
100,10,10,300,30,0.01,0.40540575981140137,0.07379999999999853
100,10,10,300,30,0.01,0.4037771224975586,0.0
100,10,10,300,30,0.01,0.40754246711730957,0.07379999999999853
100,10,10,300,30,0.01,0.4100503921508789,0.07379999999999853
100,10,10,300,30,0.01,0.4064147472381592,0.4173999999999971
100,10,10,300,30,0.01,0.41015100479125977,0.4878
100,10,10,300,30,0.01,0.40053248405456543,0.0
100,10,10,300,30,0.01,0.41146349906921387,0.34979999999999833
100,10,10,300,30,0.01,0.40616297721862793,0.0
100,10,10,300,30,0.01,0.40847110748291016,0.2851999999999997
100,20,10,300,30,0.01,0.3623387813568115,0.0
100,20,10,300,30,0.01,0.3664417266845703,0.0
100,20,10,300,30,0.01,0.364762544631958,0.34979999999999833
100,20,10,300,30,0.01,0.3640127182006836,0.34979999999999833
100,20,10,300,30,0.01,0.3643481731414795,0.0
100,20,10,300,30,0.01,0.4044678211212158,0.4009999999999998
100,20,10,300,30,0.01,0.36449766159057617,0.0
100,20,10,300,30,0.01,0.3618762493133545,0.0
100,20,10,300,30,0.01,0.3661012649536133,0.6231999999999971
100,20,10,300,30,0.01,0.3614201545715332,0.34979999999999833
100,30,10,300,30,0.01,0.3233611583709717,0.4009999999999998
100,30,10,300,30,0.01,0.3476393222808838,0.0
100,30,10,300,30,0.01,0.3267991542816162,0.4173999999999971
100,30,10,300,30,0.01,0.32500433921813965,0.7833999999999968
100,30,10,300,30,0.01,0.3252084255218506,0.4173999999999971
100,30,10,300,30,0.01,0.335956335067749,0.4173999999999971
100,30,10,300,30,0.01,0.3247973918914795,0.0
100,30,10,300,30,0.01,0.32050371170043945,0.47839999999999705
100,30,10,300,30,0.01,0.3426017761230469,0.0
100,30,10,300,30,0.01,0.31696438789367676,0.0
100,40,10,300,30,0.01,0.2798953056335449,0.0
100,40,10,300,30,0.01,0.28136491775512695,0.0
100,40,10,300,30,0.01,0.28769779205322266,0.6231999999999971
100,40,10,300,30,0.01,0.31049442291259766,0.34399999999999764
100,40,10,300,30,0.01,0.28703808784484863,0.5923999999999978
100,40,10,300,30,0.01,0.2784295082092285,0.6885999999999974
100,40,10,300,30,0.01,0.2803657054901123,0.07379999999999853
100,40,10,300,30,0.01,0.2809333801269531,0.45339999999999847
100,40,10,300,30,0.01,0.2764871120452881,0.0
100,40,10,300,30,0.01,0.27721166610717773,0.0
100,50,10,300,30,0.01,0.24538588523864746,0.4878
