budget,size_eval,hidden_size,epochs,epochs_1batch,learning_rate,total_time,absolute_error
50,30,10,400,90,0.003,8.710933208465576,2560.0
50,30,10,400,90,0.003,9.94814658164978,3097.0
50,30,10,400,90,0.003,8.654184341430664,2652.0
50,30,10,400,90,0.003,8.654067277908325,0.0
50,30,10,400,90,0.003,8.723781108856201,1577.4000000000015
50,30,10,400,90,0.003,8.6761314868927,0.0
50,30,10,400,90,0.003,8.727696180343628,0.0
50,30,10,400,90,0.003,8.62390923500061,1593.7999999999956
50,30,10,400,90,0.003,8.701525926589966,0.0
50,30,10,400,90,0.003,8.737168550491333,0.0
60,30,10,400,90,0.003,12.840984344482422,0.0
60,30,10,400,90,0.003,12.798468589782715,0.0
60,30,10,400,90,0.003,12.84159255027771,0.0
60,30,10,400,90,0.003,12.922600984573364,0.0
60,30,10,400,90,0.003,12.81325650215149,0.0
60,30,10,400,90,0.003,12.884007692337036,0.0
60,30,10,400,90,0.003,12.772658348083496,0.0
60,30,10,400,90,0.003,12.785157442092896,0.0
60,30,10,400,90,0.003,12.821606636047363,0.0
60,30,10,400,90,0.003,12.824145555496216,0.0
70,30,10,400,90,0.003,16.980247259140015,0.0
70,30,10,400,90,0.003,16.90244960784912,0.0
70,30,10,400,90,0.003,16.908708095550537,0.0
70,30,10,400,90,0.003,16.836629390716553,0.0
70,30,10,400,90,0.003,17.027223110198975,0.0
70,30,10,400,90,0.003,16.728348970413208,2715.7999999999956
70,30,10,400,90,0.003,16.7912700176239,0.0
70,30,10,400,90,0.003,16.775038719177246,0.0
70,30,10,400,90,0.003,16.86987590789795,0.0
70,30,10,400,90,0.003,16.839069366455078,0.0
80,30,10,400,90,0.003,21.2807137966156,0.0
80,30,10,400,90,0.003,21.065288066864014,0.0
80,30,10,400,90,0.003,20.99272322654724,0.0
80,30,10,400,90,0.003,21.146945476531982,1442.199999999997
80,30,10,400,90,0.003,21.148810625076294,0.0
80,30,10,400,90,0.003,21.011032104492188,0.0
80,30,10,400,90,0.003,21.20944833755493,0.0
80,30,10,400,90,0.003,21.14694118499756,0.0
80,30,10,400,90,0.003,20.96641707420349,0.0
80,30,10,400,90,0.003,21.04102635383606,0.0
90,30,10,400,90,0.003,25.275546312332153,0.0
90,30,10,400,90,0.003,25.20918893814087,0.0
90,30,10,400,90,0.003,25.188196182250977,0.0
90,30,10,400,90,0.003,25.327388048171997,0.0
90,30,10,400,90,0.003,25.26057720184326,0.0
90,30,10,400,90,0.003,25.453988552093506,0.0
90,30,10,400,90,0.003,25.264201879501343,4591.799999999996
90,30,10,400,90,0.003,25.615681171417236,0.0
90,30,10,400,90,0.003,25.33224368095398,0.0
90,30,10,400,90,0.003,25.321727991104126,0.0
100,30,10,400,90,0.003,29.529165983200073,0.0
100,30,10,400,90,0.003,29.25035524368286,0.0
100,30,10,400,90,0.003,31.61228919029236,0.0
100,30,10,400,90,0.003,29.37788200378418,0.0
100,30,10,400,90,0.003,29.27141499519348,0.0
100,30,10,400,90,0.003,29.254812002182007,0.0
100,30,10,400,90,0.003,29.529725790023804,1095.199999999997
100,30,10,400,90,0.003,29.46616792678833,1601.7999999999956
100,30,10,400,90,0.003,29.224903106689453,0.0
100,30,10,400,90,0.003,29.600229263305664,39.400000000001455
110,30,10,400,90,0.003,33.31764316558838,4500.0
110,30,10,400,90,0.003,33.43497967720032,0.0
110,30,10,400,90,0.003,33.4306116104126,0.0
110,30,10,400,90,0.003,33.54769992828369,0.0
110,30,10,400,90,0.003,33.96326208114624,4197.799999999996
110,30,10,400,90,0.003,33.531930685043335,0.0
110,30,10,400,90,0.003,33.467775106430054,0.0
110,30,10,400,90,0.003,33.302905321121216,0.0
110,30,10,400,90,0.003,33.45989513397217,5382.799999999996
110,30,10,400,90,0.003,33.6621732711792,0.0
120,30,10,400,90,0.003,37.63173460960388,0.0
120,30,10,400,90,0.003,37.62949252128601,0.0
120,30,10,400,90,0.003,37.800912618637085,0.0
120,30,10,400,90,0.003,37.99447011947632,0.0
120,30,10,400,90,0.003,37.602489948272705,39.400000000001455
120,30,10,400,90,0.003,37.75166606903076,0.0
120,30,10,400,90,0.003,37.98473143577576,0.0
120,30,10,400,90,0.003,38.07215166091919,0.0
120,30,10,400,90,0.003,37.730509519577026,0.0
120,30,10,400,90,0.003,37.581366539001465,0.0
130,30,10,400,90,0.003,42.07258939743042,0.0
130,30,10,400,90,0.003,41.37442111968994,0.0
130,30,10,400,90,0.003,41.40016269683838,0.0
130,30,10,400,90,0.003,41.32656002044678,0.0
130,30,10,400,90,0.003,41.49355721473694,0.0
130,30,10,400,90,0.003,41.49620008468628,0.0
130,30,10,400,90,0.003,41.54641532897949,0.0
130,30,10,400,90,0.003,41.50646090507507,0.0
130,30,10,400,90,0.003,42.13500118255615,0.0
130,30,10,400,90,0.003,42.736337184906006,0.0
140,30,10,400,90,0.003,45.90466117858887,0.0
140,30,10,400,90,0.003,45.94932556152344,0.0
140,30,10,400,90,0.003,50.11889958381653,0.0
140,30,10,400,90,0.003,46.69981837272644,0.0
140,30,10,400,90,0.003,45.969435930252075,3992.4000000000015
140,30,10,400,90,0.003,45.843520402908325,0.0
140,30,10,400,90,0.003,46.7998788356781,0.0
140,30,10,400,90,0.003,45.78291082382202,2876.7999999999956
140,30,10,400,90,0.003,47.2754328250885,0.0
140,30,10,400,90,0.003,46.162787675857544,0.0
