budget,size_eval,hidden_size,epochs,epochs_1batch,learning_rate,total_time,absolute_error
50,30,10,400,90,0.003,0.2351398468017578,17.0
50,30,10,400,90,0.003,0.17813611030578613,131.79999999999563
50,30,10,400,90,0.003,0.18137526512145996,131.79999999999563
50,30,10,400,90,0.003,0.17642903327941895,116.19999999999709
50,30,10,400,90,0.003,0.17382311820983887,244.1999999999971
50,30,10,400,90,0.003,0.17608857154846191,17.0
50,30,10,400,90,0.003,0.17754411697387695,17.0
50,30,10,400,90,0.003,0.17561101913452148,220.59999999999854
50,30,10,400,90,0.003,0.1815953254699707,207.0
50,30,10,400,90,0.003,0.18318796157836914,131.79999999999563
60,30,10,400,90,0.003,0.2422502040863037,112.19999999999709
60,30,10,400,90,0.003,0.2414705753326416,156.0
60,30,10,400,90,0.003,0.2451934814453125,116.19999999999709
60,30,10,400,90,0.003,0.24430346488952637,190.39999999999418
60,30,10,400,90,0.003,0.24548554420471191,0.0
60,30,10,400,90,0.003,0.24512529373168945,100.0
60,30,10,400,90,0.003,0.24710822105407715,119.59999999999854
60,30,10,400,90,0.003,0.2441415786743164,112.19999999999709
60,30,10,400,90,0.003,0.24538087844848633,172.1999999999971
60,30,10,400,90,0.003,0.24721312522888184,0.0
70,30,10,400,90,0.003,0.31293463706970215,119.59999999999854
70,30,10,400,90,0.003,0.31357812881469727,116.19999999999709
70,30,10,400,90,0.003,0.3208768367767334,181.39999999999418
70,30,10,400,90,0.003,0.3126211166381836,156.0
70,30,10,400,90,0.003,0.31995058059692383,266.0
70,30,10,400,90,0.003,0.3079977035522461,17.0
70,30,10,400,90,0.003,0.3110015392303467,160.79999999999563
70,30,10,400,90,0.003,0.3105204105377197,112.19999999999709
70,30,10,400,90,0.003,0.3149862289428711,58.0
70,30,10,400,90,0.003,0.32747459411621094,150.79999999999563
80,30,10,400,90,0.003,0.38408541679382324,0.0
80,30,10,400,90,0.003,0.3847055435180664,116.19999999999709
80,30,10,400,90,0.003,0.3836028575897217,112.19999999999709
80,30,10,400,90,0.003,0.38054871559143066,124.59999999999854
80,30,10,400,90,0.003,0.384753942489624,174.59999999999854
80,30,10,400,90,0.003,0.381406307220459,0.0
80,30,10,400,90,0.003,0.381192684173584,17.0
80,30,10,400,90,0.003,0.3790268898010254,0.0
80,30,10,400,90,0.003,0.38553929328918457,0.0
80,30,10,400,90,0.003,0.3853776454925537,58.0
90,30,10,400,90,0.003,0.4640192985534668,280.1999999999971
90,30,10,400,90,0.003,0.4680042266845703,58.0
90,30,10,400,90,0.003,0.4535830020904541,0.0
90,30,10,400,90,0.003,0.4536268711090088,0.0
90,30,10,400,90,0.003,0.45356154441833496,0.0
90,30,10,400,90,0.003,0.45436763763427734,0.0
90,30,10,400,90,0.003,0.4854919910430908,0.0
90,30,10,400,90,0.003,0.4626929759979248,246.39999999999418
90,30,10,400,90,0.003,0.4596269130706787,17.0
90,30,10,400,90,0.003,0.4650907516479492,17.0
100,30,10,400,90,0.003,0.5226390361785889,100.0
100,30,10,400,90,0.003,0.5201785564422607,0.0
100,30,10,400,90,0.003,0.5245614051818848,0.0
100,30,10,400,90,0.003,0.5151710510253906,0.0
100,30,10,400,90,0.003,0.5179586410522461,0.0
100,30,10,400,90,0.003,0.5320041179656982,17.0
100,30,10,400,90,0.003,0.5623297691345215,0.0
100,30,10,400,90,0.003,0.5174112319946289,58.0
100,30,10,400,90,0.003,0.5272214412689209,0.0
100,30,10,400,90,0.003,0.5155901908874512,0.0
110,30,10,400,90,0.003,0.5820207595825195,116.19999999999709
110,30,10,400,90,0.003,0.5864098072052002,58.0
110,30,10,400,90,0.003,0.5786199569702148,112.19999999999709
110,30,10,400,90,0.003,0.5882284641265869,58.0
110,30,10,400,90,0.003,0.5884644985198975,169.1999999999971
110,30,10,400,90,0.003,0.5852615833282471,17.0
110,30,10,400,90,0.003,0.5873699188232422,0.0
110,30,10,400,90,0.003,0.5805363655090332,58.0
110,30,10,400,90,0.003,0.5827140808105469,207.0
110,30,10,400,90,0.003,0.5817759037017822,0.0
120,30,10,400,90,0.003,0.6795403957366943,0.0
120,30,10,400,90,0.003,0.6621708869934082,0.0
120,30,10,400,90,0.003,0.7682886123657227,0.0
120,30,10,400,90,0.003,0.6695551872253418,0.0
120,30,10,400,90,0.003,0.6603448390960693,0.0
120,30,10,400,90,0.003,0.6490707397460938,17.0
120,30,10,400,90,0.003,0.6594829559326172,124.59999999999854
120,30,10,400,90,0.003,0.6455085277557373,58.0
120,30,10,400,90,0.003,0.6593389511108398,280.1999999999971
120,30,10,400,90,0.003,0.6475563049316406,17.0
130,30,10,400,90,0.003,0.7348291873931885,116.19999999999709
130,30,10,400,90,0.003,0.7081894874572754,0.0
130,30,10,400,90,0.003,0.7079958915710449,0.0
130,30,10,400,90,0.003,0.7131428718566895,0.0
130,30,10,400,90,0.003,0.7222039699554443,0.0
130,30,10,400,90,0.003,0.7145533561706543,116.19999999999709
130,30,10,400,90,0.003,0.7073709964752197,0.0
130,30,10,400,90,0.003,0.7129127979278564,0.0
130,30,10,400,90,0.003,0.7119262218475342,131.79999999999563
130,30,10,400,90,0.003,0.7132058143615723,0.0
140,30,10,400,90,0.003,1.0083749294281006,0.0
140,30,10,400,90,0.003,0.783315896987915,0.0
140,30,10,400,90,0.003,0.7931315898895264,17.0
140,30,10,400,90,0.003,0.7794640064239502,112.19999999999709
140,30,10,400,90,0.003,0.7822911739349365,112.19999999999709
140,30,10,400,90,0.003,0.792574405670166,58.0
140,30,10,400,90,0.003,0.7891221046447754,0.0
140,30,10,400,90,0.003,0.812744140625,131.79999999999563
140,30,10,400,90,0.003,0.801868200302124,0.0
140,30,10,400,90,0.003,0.7765145301818848,0.0
