budget,size_eval,hidden_size,epochs,epochs_1batch,learning_rate,total_time,absolute_error
50,30,10,400,90,0.003,0.09162545204162598,0.0
50,30,10,400,90,0.003,0.09112000465393066,0.0
50,30,10,400,90,0.003,0.09159493446350098,0.0
50,30,10,400,90,0.003,0.09080338478088379,0.0
50,30,10,400,90,0.003,0.09194707870483398,0.0
50,30,10,400,90,0.003,0.09045076370239258,0.01200000000000001
50,30,10,400,90,0.003,0.0903615951538086,0.01200000000000001
50,30,10,400,90,0.003,0.0905148983001709,0.0
50,30,10,400,90,0.003,0.09057307243347168,0.0
50,30,10,400,90,0.003,0.09047293663024902,0.01200000000000001
60,30,10,400,90,0.003,0.11785030364990234,0.0
60,30,10,400,90,0.003,0.11624932289123535,0.0
60,30,10,400,90,0.003,0.11841964721679688,0.0
60,30,10,400,90,0.003,0.11854720115661621,0.0
60,30,10,400,90,0.003,0.11680459976196289,0.0
60,30,10,400,90,0.003,0.11846375465393066,0.0
60,30,10,400,90,0.003,0.11736392974853516,0.0
60,30,10,400,90,0.003,0.11940956115722656,0.0
60,30,10,400,90,0.003,0.11811304092407227,0.0
60,30,10,400,90,0.003,0.11849617958068848,0.0
70,30,10,400,90,0.003,0.14557266235351562,0.0
70,30,10,400,90,0.003,0.14829397201538086,0.0
70,30,10,400,90,0.003,0.14719438552856445,0.0
70,30,10,400,90,0.003,0.1473991870880127,0.0
70,30,10,400,90,0.003,0.1456012725830078,0.0
70,30,10,400,90,0.003,0.146742582321167,0.0
70,30,10,400,90,0.003,0.14373302459716797,0.0
70,30,10,400,90,0.003,0.14373564720153809,0.0
70,30,10,400,90,0.003,0.14301443099975586,0.0
70,30,10,400,90,0.003,0.14607024192810059,0.0
80,30,10,400,90,0.003,0.17435097694396973,0.0
80,30,10,400,90,0.003,0.17477726936340332,0.0
80,30,10,400,90,0.003,0.17083358764648438,0.0
80,30,10,400,90,0.003,0.1780095100402832,0.0
80,30,10,400,90,0.003,0.16953182220458984,0.0
80,30,10,400,90,0.003,0.17620539665222168,0.0
80,30,10,400,90,0.003,0.1720113754272461,0.0
80,30,10,400,90,0.003,0.17099618911743164,0.0
80,30,10,400,90,0.003,0.17279505729675293,0.0
80,30,10,400,90,0.003,0.17560172080993652,0.0
90,30,10,400,90,0.003,0.19981122016906738,0.0
90,30,10,400,90,0.003,0.19988393783569336,0.0
90,30,10,400,90,0.003,0.19861316680908203,0.0
90,30,10,400,90,0.003,0.19887065887451172,0.0
90,30,10,400,90,0.003,0.2089524269104004,0.0
90,30,10,400,90,0.003,0.2024087905883789,0.0
90,30,10,400,90,0.003,0.20727157592773438,0.0
90,30,10,400,90,0.003,0.19975805282592773,0.0
90,30,10,400,90,0.003,0.20322489738464355,0.0
90,30,10,400,90,0.003,0.20484113693237305,0.0
100,30,10,400,90,0.003,0.23116564750671387,0.0
100,30,10,400,90,0.003,0.2235400676727295,0.0
100,30,10,400,90,0.003,0.22688889503479004,0.0
100,30,10,400,90,0.003,0.22379541397094727,0.0
100,30,10,400,90,0.003,0.22048187255859375,0.0
100,30,10,400,90,0.003,0.22071290016174316,0.0
100,30,10,400,90,0.003,0.24794793128967285,0.0
100,30,10,400,90,0.003,0.2240440845489502,0.0
100,30,10,400,90,0.003,0.2267131805419922,0.0
100,30,10,400,90,0.003,0.23990511894226074,0.0
110,30,10,400,90,0.003,0.24808692932128906,0.0
110,30,10,400,90,0.003,0.2512490749359131,0.0
110,30,10,400,90,0.003,0.258007287979126,0.0
110,30,10,400,90,0.003,0.24920320510864258,0.0
110,30,10,400,90,0.003,0.2478482723236084,0.0
110,30,10,400,90,0.003,0.25504136085510254,0.0
110,30,10,400,90,0.003,0.24773859977722168,0.0
110,30,10,400,90,0.003,0.24630093574523926,0.0
110,30,10,400,90,0.003,0.2516357898712158,0.0
110,30,10,400,90,0.003,0.24921011924743652,0.0
120,30,10,400,90,0.003,0.28035759925842285,0.0
120,30,10,400,90,0.003,0.2897360324859619,0.0
120,30,10,400,90,0.003,0.2737576961517334,0.0
120,30,10,400,90,0.003,0.2888162136077881,0.0
120,30,10,400,90,0.003,0.2738840579986572,0.0
120,30,10,400,90,0.003,0.27368783950805664,0.0
120,30,10,400,90,0.003,0.2709033489227295,0.0
120,30,10,400,90,0.003,0.2865126132965088,0.0
120,30,10,400,90,0.003,0.2778587341308594,0.0
120,30,10,400,90,0.003,0.2727174758911133,0.0
130,30,10,400,90,0.003,0.29644346237182617,0.0
130,30,10,400,90,0.003,0.29329490661621094,0.0
130,30,10,400,90,0.003,0.29140782356262207,0.0
130,30,10,400,90,0.003,0.29650092124938965,0.0
130,30,10,400,90,0.003,0.30005574226379395,0.0
130,30,10,400,90,0.003,0.3073573112487793,0.0
130,30,10,400,90,0.003,0.295208215713501,0.0
130,30,10,400,90,0.003,0.29285645484924316,0.0
130,30,10,400,90,0.003,0.2935316562652588,0.0
130,30,10,400,90,0.003,0.2973453998565674,0.0
140,30,10,400,90,0.003,0.31658506393432617,0.0
140,30,10,400,90,0.003,0.3169722557067871,0.0
140,30,10,400,90,0.003,0.32489585876464844,0.0
140,30,10,400,90,0.003,0.339277982711792,0.0
140,30,10,400,90,0.003,0.32044124603271484,0.0
140,30,10,400,90,0.003,0.32019782066345215,0.0
140,30,10,400,90,0.003,0.3234107494354248,0.0
140,30,10,400,90,0.003,0.32418370246887207,0.0
140,30,10,400,90,0.003,0.3441791534423828,0.0
140,30,10,400,90,0.003,0.31675028800964355,0.0
