budget,size_eval,hidden_size,epochs,epochs_1batch,learning_rate,total_time,absolute_error
100,10,10,300,30,0.01,9.68503475189209,0.00297914597815
100,10,10,300,30,0.01,9.419615030288696,0.000993048659384
100,10,10,300,30,0.01,9.376802921295166,0.000993048659384
100,10,10,300,30,0.01,9.29483938217163,0.000993048659384
100,10,10,300,30,0.01,9.445480585098267,0.00198609731877
100,10,10,300,30,0.01,9.462579250335693,0.0
100,10,10,300,30,0.01,9.3380126953125,0.000993048659384
100,10,10,300,30,0.01,9.356183052062988,0.0
100,10,10,300,30,0.01,9.347334623336792,0.0
100,10,10,300,30,0.01,9.494159698486328,0.00198609731877
100,20,10,300,30,0.01,8.391285181045532,0.000993048659384
100,20,10,300,30,0.01,8.508476495742798,0.000993048659384
100,20,10,300,30,0.01,8.589473485946655,0.00198609731877
100,20,10,300,30,0.01,9.061331510543823,0.00198609731877
100,20,10,300,30,0.01,8.751807451248169,0.00198609731877
100,20,10,300,30,0.01,8.443605899810791,0.0
100,20,10,300,30,0.01,8.342756271362305,0.00198609731877
100,20,10,300,30,0.01,8.393463611602783,0.000993048659384
100,20,10,300,30,0.01,8.337865114212036,0.00198609731877
100,20,10,300,30,0.01,8.282697200775146,0.000993048659384
100,30,10,300,30,0.01,7.2763566970825195,0.0
100,30,10,300,30,0.01,7.243021249771118,0.00198609731877
100,30,10,300,30,0.01,7.343971014022827,0.000993048659384
100,30,10,300,30,0.01,7.288262844085693,0.000993048659384
100,30,10,300,30,0.01,7.643224239349365,0.000993048659384
100,30,10,300,30,0.01,8.350684642791748,0.000993048659384
100,30,10,300,30,0.01,7.625345706939697,0.000993048659384
100,30,10,300,30,0.01,7.402092456817627,0.000993048659384
100,30,10,300,30,0.01,7.535434722900391,0.000993048659384
100,30,10,300,30,0.01,7.354959011077881,0.000993048659384
100,40,10,300,30,0.01,6.248544454574585,0.0
100,40,10,300,30,0.01,6.6191864013671875,0.000993048659384
100,40,10,300,30,0.01,6.247091770172119,0.0
100,40,10,300,30,0.01,6.301779270172119,0.000993048659384
100,40,10,300,30,0.01,7.775717258453369,0.000993048659384
100,40,10,300,30,0.01,6.520190477371216,0.00198609731877
100,40,10,300,30,0.01,7.426508188247681,0.000993048659384
100,40,10,300,30,0.01,6.3366312980651855,0.000993048659384
100,40,10,300,30,0.01,6.246888875961304,0.000993048659384
100,40,10,300,30,0.01,6.240031480789185,0.00198609731877
100,50,10,300,30,0.01,5.284616708755493,0.00297914597815
100,50,10,300,30,0.01,5.221153259277344,0.0
100,50,10,300,30,0.01,5.497415065765381,0.0
100,50,10,300,30,0.01,5.309755563735962,0.00198609731877
100,50,10,300,30,0.01,5.381149530410767,0.000993048659384
100,50,10,300,30,0.01,5.258617639541626,0.00198609731877
100,50,10,300,30,0.01,5.218958854675293,0.000993048659384
100,50,10,300,30,0.01,5.4077465534210205,0.0
100,50,10,300,30,0.01,5.2275941371917725,0.000993048659384
100,50,10,300,30,0.01,5.187625885009766,0.000993048659384
100,60,10,300,30,0.01,4.2051849365234375,0.00198609731877
100,60,10,300,30,0.01,4.512959957122803,0.00198609731877
100,60,10,300,30,0.01,4.3928468227386475,0.0
100,60,10,300,30,0.01,4.246976852416992,0.000993048659384
100,60,10,300,30,0.01,4.252251386642456,0.000993048659384
100,60,10,300,30,0.01,4.2547900676727295,0.000993048659384
100,60,10,300,30,0.01,4.384821653366089,0.000993048659384
100,60,10,300,30,0.01,4.2109808921813965,0.000993048659384
100,60,10,300,30,0.01,4.224868535995483,0.0
100,60,10,300,30,0.01,4.244419097900391,0.000993048659384
100,70,10,300,30,0.01,3.3894429206848145,0.000993048659384
100,70,10,300,30,0.01,3.443571090698242,0.00198609731877
100,70,10,300,30,0.01,3.4076313972473145,0.00297914597815
100,70,10,300,30,0.01,3.2164108753204346,0.000993048659384
100,70,10,300,30,0.01,3.2466397285461426,0.000993048659384
100,70,10,300,30,0.01,3.2675063610076904,0.000993048659384
100,70,10,300,30,0.01,3.1879630088806152,0.000993048659384
100,70,10,300,30,0.01,3.1909682750701904,0.000993048659384
100,70,10,300,30,0.01,3.18975567817688,0.000993048659384
100,70,10,300,30,0.01,3.199368953704834,0.000993048659384
100,80,10,300,30,0.01,2.1894936561584473,0.00297914597815
100,80,10,300,30,0.01,2.188356876373291,0.000993048659384
100,80,10,300,30,0.01,2.34617280960083,0.000993048659384
100,80,10,300,30,0.01,2.160439968109131,0.000993048659384
100,80,10,300,30,0.01,2.1829094886779785,0.000993048659384
100,80,10,300,30,0.01,2.184314489364624,0.000993048659384
100,80,10,300,30,0.01,2.1917521953582764,0.000993048659384
100,80,10,300,30,0.01,2.203662872314453,0.000993048659384
100,80,10,300,30,0.01,2.1973092555999756,0.00198609731877
100,80,10,300,30,0.01,2.2397828102111816,0.000993048659384
100,90,10,300,30,0.01,1.1514301300048828,0.000993048659384
100,90,10,300,30,0.01,1.1497447490692139,0.000993048659384
100,90,10,300,30,0.01,1.1583762168884277,0.000993048659384
100,90,10,300,30,0.01,1.3566265106201172,0.000993048659384
100,90,10,300,30,0.01,1.1773889064788818,0.000993048659384
100,90,10,300,30,0.01,1.1812710762023926,0.00198609731877
100,90,10,300,30,0.01,1.158541202545166,0.00297914597815
100,90,10,300,30,0.01,1.2137103080749512,0.000993048659384
100,90,10,300,30,0.01,1.167689323425293,0.000993048659384
100,90,10,300,30,0.01,1.1734418869018555,0.000993048659384
50,10,10,300,30,0.01,4.2894227504730225,0.00297914597815
50,10,10,300,30,0.01,4.78527045249939,0.00198609731877
50,10,10,300,30,0.01,4.183217763900757,0.00198609731877
50,10,10,300,30,0.01,4.3908610343933105,0.00198609731877
50,10,10,300,30,0.01,4.227934122085571,0.00297914597815
50,10,10,300,30,0.01,4.160025119781494,0.000993048659384
50,10,10,300,30,0.01,4.422708034515381,0.00198609731877
50,10,10,300,30,0.01,4.204957008361816,0.00297914597815
50,10,10,300,30,0.01,4.225027561187744,0.000993048659384
50,10,10,300,30,0.01,4.297414541244507,0.00297914597815
60,10,10,300,30,0.01,5.267488718032837,0.000993048659384
60,10,10,300,30,0.01,5.24484658241272,0.000993048659384
60,10,10,300,30,0.01,5.484890699386597,0.00198609731877
60,10,10,300,30,0.01,5.196300506591797,0.000993048659384
60,10,10,300,30,0.01,5.2185468673706055,0.00198609731877
60,10,10,300,30,0.01,5.409483909606934,0.00297914597815
60,10,10,300,30,0.01,5.250357627868652,0.000993048659384
60,10,10,300,30,0.01,5.234593152999878,0.00297914597815
60,10,10,300,30,0.01,5.513433456420898,0.0
60,10,10,300,30,0.01,5.230213403701782,0.000993048659384
70,10,10,300,30,0.01,6.453031063079834,0.00198609731877
70,10,10,300,30,0.01,6.473262310028076,0.000993048659384
70,10,10,300,30,0.01,6.395222425460815,0.000993048659384
70,10,10,300,30,0.01,6.425145149230957,0.00397219463754
70,10,10,300,30,0.01,6.4000678062438965,0.00198609731877
70,10,10,300,30,0.01,6.47881293296814,0.00297914597815
70,10,10,300,30,0.01,6.346473455429077,0.000993048659384
70,10,10,300,30,0.01,6.386202096939087,0.000993048659384
70,10,10,300,30,0.01,6.336687088012695,0.00198609731877
70,10,10,300,30,0.01,6.303258180618286,0.000993048659384
80,10,10,300,30,0.01,7.427427291870117,0.0
80,10,10,300,30,0.01,7.797950267791748,0.000993048659384
80,10,10,300,30,0.01,7.370087385177612,0.000993048659384
80,10,10,300,30,0.01,7.2275965213775635,0.00297914597815
80,10,10,300,30,0.01,7.733357667922974,0.000993048659384
80,10,10,300,30,0.01,7.306558132171631,0.000993048659384
80,10,10,300,30,0.01,7.214212894439697,0.00198609731877
80,10,10,300,30,0.01,7.465412139892578,0.0
80,10,10,300,30,0.01,7.247500658035278,0.000993048659384
80,10,10,300,30,0.01,7.216934680938721,0.00297914597815
90,10,10,300,30,0.01,8.34000015258789,0.000993048659384
90,10,10,300,30,0.01,8.303649425506592,0.00297914597815
90,10,10,300,30,0.01,8.36400818824768,0.000993048659384
90,10,10,300,30,0.01,8.438525915145874,0.00198609731877
90,10,10,300,30,0.01,8.24595022201538,0.00297914597815
90,10,10,300,30,0.01,8.183551549911499,0.00198609731877
90,10,10,300,30,0.01,8.455165147781372,0.00595829195631
90,10,10,300,30,0.01,8.37032437324524,0.00297914597815
90,10,10,300,30,0.01,8.297162055969238,0.00198609731877
90,10,10,300,30,0.01,8.33286428451538,0.00198609731877
100,10,10,300,30,0.01,9.441642999649048,0.000993048659384
100,10,10,300,30,0.01,9.50954294204712,0.00198609731877
100,10,10,300,30,0.01,9.408597469329834,0.000993048659384
100,10,10,300,30,0.01,9.444408655166626,0.00496524329692
100,10,10,300,30,0.01,9.383655548095703,0.00198609731877
100,10,10,300,30,0.01,9.415936708450317,0.000993048659384
100,10,10,300,30,0.01,9.157711029052734,0.00198609731877
100,10,10,300,30,0.01,9.263695240020752,0.000993048659384
100,10,10,300,30,0.01,9.264099359512329,0.000993048659384
100,10,10,300,30,0.01,9.386071920394897,0.000993048659384
110,10,10,300,30,0.01,10.28250765800476,0.0
110,10,10,300,30,0.01,10.395137548446655,0.00198609731877
110,10,10,300,30,0.01,10.25762939453125,0.000993048659384
110,10,10,300,30,0.01,10.456150770187378,0.0109235352532
110,10,10,300,30,0.01,10.16137957572937,0.0
110,10,10,300,30,0.01,10.400660276412964,0.0
110,10,10,300,30,0.01,10.480997085571289,0.00595829195631
110,10,10,300,30,0.01,10.454432010650635,0.000993048659384
110,10,10,300,30,0.01,10.50334620475769,0.000993048659384
110,10,10,300,30,0.01,10.3221914768219,0.00397219463754
120,10,10,300,30,0.01,11.37049651145935,0.0
120,10,10,300,30,0.01,11.325345754623413,0.000993048659384
120,10,10,300,30,0.01,11.476412534713745,0.000993048659384
120,10,10,300,30,0.01,11.418428897857666,0.0
120,10,10,300,30,0.01,11.4244704246521,0.000993048659384
120,10,10,300,30,0.01,11.410865306854248,0.0
120,10,10,300,30,0.01,11.437234878540039,0.00198609731877
120,10,10,300,30,0.01,11.241501331329346,0.000993048659384
120,10,10,300,30,0.01,11.542358875274658,0.000993048659384
120,10,10,300,30,0.01,11.449759006500244,0.00496524329692
130,10,10,300,30,0.01,12.238067626953125,0.0
130,10,10,300,30,0.01,12.509739875793457,0.00397219463754
130,10,10,300,30,0.01,12.571040630340576,0.0
130,10,10,300,30,0.01,12.425706148147583,0.0
130,10,10,300,30,0.01,12.527987480163574,0.000993048659384
130,10,10,300,30,0.01,12.350802659988403,0.0
130,10,10,300,30,0.01,12.544386148452759,0.000993048659384
130,10,10,300,30,0.01,12.483977794647217,0.00198609731877
130,10,10,300,30,0.01,12.440705299377441,0.00198609731877
130,10,10,300,30,0.01,12.444897413253784,0.000993048659384
140,10,10,300,30,0.01,13.57105278968811,0.00297914597815
140,10,10,300,30,0.01,13.478640079498291,0.000993048659384
140,10,10,300,30,0.01,13.5704345703125,0.00198609731877
140,10,10,300,30,0.01,13.393981695175171,0.000993048659384
140,10,10,300,30,0.01,13.523075342178345,0.00297914597815
140,10,10,300,30,0.01,13.347558498382568,0.00297914597815
140,10,10,300,30,0.01,13.411851644515991,0.000993048659384
140,10,10,300,30,0.01,13.233296155929565,0.00397219463754
140,10,10,300,30,0.01,13.483417987823486,0.000993048659384
140,10,10,300,30,0.01,13.498880386352539,0.000993048659384
100,10,10,300,30,0.01,9.276948690414429,0.00496524329692
100,10,10,300,30,0.01,9.372307300567627,0.000993048659384
100,10,10,300,30,0.01,9.180156230926514,0.000993048659384
100,10,10,300,30,0.01,9.319260120391846,0.000993048659384
100,10,10,300,30,0.01,9.504748106002808,0.0
100,10,10,300,30,0.01,9.433055639266968,0.000993048659384
100,10,10,300,30,0.01,9.39600682258606,0.000993048659384
100,10,10,300,30,0.01,9.360909700393677,0.000993048659384
100,10,10,300,30,0.01,9.40726900100708,0.000993048659384
100,10,10,300,30,0.01,9.428355693817139,0.00198609731877
100,10,20,300,30,0.01,9.245344161987305,0.0
100,10,20,300,30,0.01,9.234169483184814,0.000993048659384
100,10,20,300,30,0.01,9.22441291809082,0.000993048659384
100,10,20,300,30,0.01,9.337762832641602,0.000993048659384
100,10,20,300,30,0.01,9.576138019561768,0.00198609731877
100,10,20,300,30,0.01,9.249540567398071,0.0
100,10,20,300,30,0.01,9.410631895065308,0.00297914597815
100,10,20,300,30,0.01,9.315986156463623,0.0
100,10,20,300,30,0.01,9.336686372756958,0.000993048659384
100,10,20,300,30,0.01,9.253229856491089,0.00595829195631
100,10,30,300,30,0.01,9.412105321884155,0.000993048659384
100,10,30,300,30,0.01,9.435993432998657,0.00297914597815
100,10,30,300,30,0.01,9.423521757125854,0.0
100,10,30,300,30,0.01,9.352598667144775,0.0
100,10,30,300,30,0.01,9.403006553649902,0.0
100,10,30,300,30,0.01,9.442219018936157,0.00794438927507
100,10,30,300,30,0.01,9.417787313461304,0.0
100,10,30,300,30,0.01,9.416489362716675,0.00496524329692
100,10,30,300,30,0.01,9.410948753356934,0.000993048659384
100,10,30,300,30,0.01,9.443346500396729,0.0
100,10,40,300,30,0.01,9.305333614349365,0.00297914597815
100,10,40,300,30,0.01,9.302254915237427,0.00198609731877
100,10,40,300,30,0.01,9.413405895233154,0.00198609731877
100,10,40,300,30,0.01,9.357751846313477,0.000993048659384
100,10,40,300,30,0.01,9.402931451797485,0.0
100,10,40,300,30,0.01,9.353246927261353,0.00198609731877
100,10,40,300,30,0.01,9.370032787322998,0.0
100,10,40,300,30,0.01,9.336676836013794,0.00496524329692
100,10,40,300,30,0.01,9.396566152572632,0.000993048659384
100,10,40,300,30,0.01,9.30335259437561,0.000993048659384
100,10,50,300,30,0.01,9.454943656921387,0.0
100,10,50,300,30,0.01,9.52240514755249,0.0
