new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
2.0,1.0,0.0,1.0,1.0,80.0,512.0,4.0,11852.2
2.0,1.0,1.0,0.0,0.0,100.0,4096.0,4.0,4364.4
2.0,0.0,1.0,0.0,1.0,60.0,4096.0,0.0,4702.4
4.0,0.0,1.0,0.0,0.0,30.0,4096.0,2.0,8990.6
2.0,0.0,0.0,0.0,1.0,70.0,2.0,0.0,7441.6
2.0,1.0,0.0,0.0,0.0,50.0,1024.0,4.0,4555.8
2.0,1.0,1.0,0.0,1.0,80.0,4096.0,4.0,4277.8
5.0,0.0,1.0,0.0,1.0,10.0,1.0,0.0,9098.6
2.0,1.0,0.0,0.0,0.0,40.0,1024.0,4.0,4613.6
2.0,0.0,1.0,0.0,0.0,100.0,4096.0,0.0,4645.6
2.0,1.0,1.0,0.0,1.0,70.0,64.0,4.0,4386.8
5.0,0.0,0.0,1.0,0.0,30.0,4.0,0.0,9129.4
5.0,0.0,1.0,1.0,0.0,30.0,2048.0,0.0,9088.0
4.0,0.0,0.0,0.0,1.0,90.0,1024.0,2.0,8917.0
2.0,0.0,1.0,0.0,0.0,90.0,64.0,0.0,4642.4
4.0,1.0,1.0,0.0,1.0,50.0,512.0,2.0,8941.8
5.0,0.0,1.0,1.0,1.0,0.0,8.0,4.0,9216.0
5.0,0.0,0.0,0.0,0.0,10.0,256.0,2.0,9095.4
5.0,0.0,1.0,0.0,1.0,70.0,1.0,0.0,9076.8
2.0,0.0,0.0,0.0,1.0,100.0,64.0,0.0,4651.0
2.0,1.0,0.0,0.0,1.0,100.0,4096.0,0.0,4668.0
4.0,1.0,1.0,0.0,1.0,50.0,16.0,0.0,9000.2
2.0,1.0,0.0,0.0,0.0,90.0,512.0,4.0,4343.8
2.0,1.0,0.0,0.0,0.0,10.0,1024.0,2.0,5756.6
2.0,1.0,0.0,0.0,0.0,20.0,64.0,0.0,5059.2
3.0,0.0,1.0,1.0,0.0,40.0,2048.0,4.0,12010.8
2.0,1.0,1.0,0.0,0.0,30.0,2048.0,0.0,4825.8
2.0,0.0,0.0,0.0,1.0,100.0,1024.0,0.0,4680.0
2.0,0.0,0.0,0.0,0.0,90.0,4096.0,0.0,4688.2
2.0,0.0,0.0,0.0,1.0,10.0,4096.0,0.0,5745.4
2.0,0.0,0.0,0.0,1.0,30.0,2048.0,0.0,4871.2
2.0,1.0,0.0,0.0,1.0,30.0,4096.0,2.0,4844.4
2.0,0.0,0.0,0.0,1.0,100.0,1024.0,2.0,4672.8
2.0,0.0,1.0,0.0,0.0,20.0,32.0,0.0,5160.2
2.0,0.0,0.0,0.0,1.0,90.0,512.0,0.0,4667.0
2.0,0.0,1.0,0.0,1.0,80.0,4096.0,0.0,4695.6
2.0,0.0,0.0,0.0,0.0,10.0,64.0,0.0,5743.4
2.0,0.0,0.0,0.0,0.0,30.0,128.0,0.0,4866.0
2.0,1.0,1.0,0.0,0.0,40.0,2.0,0.0,7432.6
2.0,0.0,1.0,0.0,1.0,100.0,64.0,0.0,4627.6
2.0,0.0,0.0,0.0,0.0,30.0,4096.0,0.0,4855.4
2.0,0.0,1.0,0.0,1.0,100.0,64.0,0.0,4627.6
2.0,1.0,0.0,0.0,0.0,80.0,4096.0,0.0,4709.4
5.0,1.0,1.0,1.0,1.0,50.0,1024.0,0.0,9200.0
2.0,0.0,0.0,0.0,0.0,50.0,256.0,4.0,4541.0
2.0,1.0,0.0,0.0,1.0,10.0,256.0,0.0,5732.0
2.0,1.0,1.0,0.0,1.0,100.0,64.0,0.0,4647.6
5.0,0.0,1.0,0.0,1.0,20.0,2.0,4.0,9104.8
2.0,1.0,0.0,0.0,0.0,100.0,4096.0,0.0,4686.8
2.0,0.0,0.0,0.0,0.0,30.0,4096.0,0.0,4855.4
2.0,1.0,0.0,0.0,1.0,100.0,4096.0,4.0,4391.2
2.0,0.0,0.0,0.0,0.0,30.0,2048.0,4.0,4578.8
2.0,1.0,1.0,0.0,1.0,30.0,4096.0,0.0,4824.2
